ID,item_cnt_month
0,0.429489432
1,0.257835323
2,0.846932062
3,0.440651894
4,2.425827883
5,0.505948996
6,0.848317261
7,0.137752976
8,0.570769389
9,0.586125069
10,2.114983127
11,0.435273685
12,0.138398981
13,0.430901284
14,1.516042291
15,2.087014736
16,0.074262654
17,0.155835049
18,1.014255786
19,0.232636822
20,0.351029495
21,0.224900039
22,1.603649639
23,0.419644119
24,1.237337295
25,0.596850037
26,0.258894007
27,0.447355221
28,1.083591053
29,3.915842619
30,0.766631139
31,0.306609055
32,0.864813521
33,0.905225588
34,0.074656401
35,0.081264202
36,0.080532795
37,1.003112561
38,0.147971849
39,0.113423904
40,0.685991857
41,1.220310761
42,3.510644743
43,3.735312049
44,0.928954793
45,0.448628421
46,0.818695521
47,0.32875805
48,0.450000981
49,0.652886302
50,0.955302992
51,0.447814673
52,0.431022043
53,0.353862371
54,4.435018163
55,2.662941322
56,0.818514097
57,1.276371451
58,3.476098985
59,1.949151956
60,3.909109465
61,0.236201277
62,0.178951568
63,0.289345418
64,2.321323603
65,0.485888191
66,0.5698961
67,0.065786018
68,0.55207052
69,0.073336494
70,0.485898071
71,1.427838266
72,0.185752543
73,0.686470356
74,5.522232488
75,6.537049977
76,0.252905147
77,2.93836391
78,0.393258851
79,0.754753464
80,1.280994909
81,1.48770896
82,0.624603017
83,0.240749128
84,0.597885835
85,0.80318855
86,0.437790564
87,0.049169945
88,2.335349723
89,0.813748608
90,0.741902253
91,0.594867948
92,1.938876076
93,0.100089826
94,0.458534717
95,0.067132198
96,0.073584543
97,0.338408007
98,0.586752892
99,1.320084361
100,0.658219427
101,1.091928528
102,0.246361487
103,0.928049621
104,0.088978742
105,0.489562888
106,0.331432845
107,0.671274604
108,0.135486509
109,0.313613891
110,0.274445091
111,0.414343923
112,0.304727553
113,0.843562684
114,0.146704614
115,0.315773826
116,0.320103996
117,0.068285117
118,6.5387924
119,0.089082949
120,0.087491409
121,0.095769292
122,0.309780336
123,0.290092034
124,0.360562618
125,0.796906376
126,0.38016715
127,0.108971877
128,0.232645111
129,0.264587938
130,0.415513706
131,0.037119001
132,1.040646051
133,3.564625391
134,0.084611115
135,1.37842879
136,0.771745065
137,0.765141499
138,1.350204007
139,1.246175176
140,0.214764971
141,0.305528981
142,0.090141779
143,0.430836866
144,0.407931012
145,0.407931311
146,0.40793161
147,0.055344469
148,0.198807407
149,0.095470476
150,0.088607734
151,0.360221552
152,5.190551807
153,0.298232521
154,0.094696536
155,0.126119599
156,0.164922501
157,0.286355298
158,0.102545111
159,0.137559688
160,0.639127688
161,0.230400011
162,0.456171658
163,0.750741434
164,0.376418422
165,0.122802521
166,0.308338352
167,0.052970621
168,0.20210665
169,0.142574955
170,0.225973037
171,0.457501766
172,0.082253617
173,1.799558036
174,1.342821355
175,2.282174811
176,1.204986856
177,0.371872548
178,0.196941019
179,0.128944907
180,1.451740026
181,0.111586755
182,0.109961912
183,0.164411181
184,0.109117207
185,0.089018107
186,0.130500351
187,0.095931208
188,0.198545273
189,0.198544974
190,0.242642723
191,0.390719047
192,0.73551641
193,0.104924442
194,0.222629174
195,0.127460337
196,0.491522022
197,2.353268223
198,1.136190419
199,2.357173838
200,0.004347396
201,2.357174736
202,0.111240823
203,0.882820511
204,0.111982037
205,0.538790001
206,0.35353609
207,0.12691951
208,1.585986592
209,0.353751991
210,0.1478169
211,0.066943374
212,0.048751273
213,0.244381831
214,0.068938571
215,0.107981638
216,0.226239702
217,0.080059045
218,0.958184185
219,0.397484232
220,0.16715766
221,2.789513062
222,2.273810417
223,0.715093411
224,1.964489394
225,0.255619656
226,0.516269903
227,0.1014527
228,0.137712861
229,0.112360806
230,2.650753488
231,0.515766491
232,0.036342409
233,0.141387654
234,0.061913201
235,0.065980702
236,0.447190213
237,0.716367691
238,0.319702893
239,0.222789982
240,0.349723435
241,0.066812556
242,0.095329128
243,2.247094679
244,0.235456682
245,0.254226255
246,1.664598719
247,0.492705119
248,0.377511816
249,0.075055595
250,0.547005172
251,0.237635065
252,0.239027909
253,0.739168055
254,0.340418326
255,5.397069534
256,0.45483844
257,0.190286906
258,0.319717026
259,0.134459826
260,0.075147855
261,0.105400425
262,0.197846919
263,0.03882079
264,0.104529166
265,0.491160315
266,0.065907525
267,0.310101973
268,0.458698292
269,0.270997311
270,1.254258705
271,0.132355177
272,0.113819482
273,1.053554984
274,12.56147851
275,0.108959375
276,0.181147316
277,1.027875277
278,0.337024382
279,0.510799751
280,0.199004728
281,0.089832238
282,0.076475117
283,0.48525072
284,0.37977548
285,0.165498099
286,0.077722108
287,0.947241035
288,0.140769555
289,0.211080484
290,0.065440782
291,0.129193313
292,0.374669962
293,0.09220962
294,0.529181769
295,0.898319813
296,0.366586559
297,0.213164616
298,0.056759348
299,0.22642547
300,0.146727788
301,0.617668511
302,1.001902779
303,0.466223324
304,0.076694064
305,0.054547002
306,0.208943457
307,0.208043122
308,0.166135291
309,0.515380799
310,0.486963186
311,0.427682496
312,0.57312404
313,0.264615766
314,0.082206314
315,0.662666892
316,0.208772656
317,2.250303995
318,0.074554358
319,0.175776092
320,0.315248168
321,0.059254326
322,0.628781956
323,0.10932844
324,0.399747814
325,0.415111602
326,0.111011216
327,0.107609871
328,0.130817686
329,0.171381384
330,0.195315733
331,0.019552372
332,0.099454954
333,0.220463728
334,0.601777225
335,0.197066459
336,0.294966771
337,0.564741639
338,0.174357606
339,0.620438618
340,0.079368618
341,0.113376582
342,0.380546636
343,0.716585735
344,0.134744509
345,0.075237671
346,4.220983147
347,3.058143669
348,0.060836656
349,0.375301003
350,0.205969233
351,0.590200168
352,0.171296586
353,0.176772513
354,0.146710417
355,0.46211255
356,0.4799328
357,1.023528419
358,0.245183788
359,0.496515897
360,0.669390351
361,3.576842219
362,0.730034164
363,0.719784717
364,0.556755304
365,0.496953606
366,0.380799029
367,0.043763486
368,0.10620981
369,0.402936078
370,0.414379855
371,0.77503205
372,0.823386362
373,0.413961359
374,1.427749776
375,2.046211373
376,0.730871623
377,0.199208503
378,0.380928975
379,0.250777435
380,2.70281541
381,0.413912054
382,0.429331909
383,0.273846032
384,1.23566382
385,0.145357532
386,0.400162845
387,0.78690502
388,0.135510593
389,0.057136625
390,0.094871357
391,0.288243205
392,0.092452649
393,0.517986315
394,0.131349324
395,0.046794212
396,1.764217139
397,0.803589214
398,0.078045858
399,0.227560953
400,0.341850874
401,0.244313818
402,2.481895753
403,2.90152534
404,0.657881946
405,0.082565267
406,0.234953503
407,0.160366718
408,0.162236093
409,2.169551276
410,0.245774585
411,1.340346588
412,0.253815118
413,0.460955871
414,0.070888083
415,3.281051794
416,0.880475466
417,2.169550079
418,1.662212108
419,0.225514737
420,0.399367508
421,2.141707039
422,0.238686842
423,0.643938985
424,0.182745125
425,0.176132011
426,2.195000622
427,0.423484096
428,0.702954108
429,0.204679324
430,0.849236997
431,0.517610959
432,0.056431857
433,0.109322978
434,0.071707671
435,0.869247164
436,0.04923558
437,0.588496857
438,0.255849866
439,0.351438649
440,0.123113598
441,0.188993612
442,0.451444523
443,0.120427351
444,0.209225281
445,0.509297797
446,0.22289809
447,0.187677539
448,0.178802318
449,0.351520117
450,0.137497079
451,0.148752953
452,0.17190357
453,0.182357241
454,0.356140583
455,0.118610699
456,0.438175125
457,0.047939576
458,1.193426998
459,0.748110821
460,18.63985254
461,0.731011328
462,0.363052427
463,0.327368927
464,0.548912596
465,0.372905093
466,0.167790684
467,0.391461621
468,0.133864418
469,0.161633504
470,0.428626028
471,0.137186309
472,0.087400743
473,0.047494426
474,0.840872817
475,1.112747046
476,0.050053142
477,0.245353677
478,0.043861533
479,0.226349615
480,0.091979326
481,0.091979626
482,0.153959334
483,0.255478807
484,0.618429132
485,0.388116698
486,0.549868077
487,0.307837838
488,0.239417167
489,2.062797746
490,0.308206965
491,0.091287378
492,0.868240061
493,0.038015438
494,0.357387586
495,0.187592159
496,0.094505901
497,3.050233881
498,4.086966498
499,0.599739311
500,2.64886837
501,0.405156862
502,0.312475101
503,0.086855925
504,0.660043592
505,0.47016083
506,0.800921927
507,0.091977557
508,0.508759244
509,0.179354831
510,0.221614253
511,0.117285021
512,0.137474986
513,0.188053511
514,0.074191361
515,2.610055154
516,0.146710423
517,0.434032041
518,0.672231949
519,0.518019147
520,0.380693592
521,0.175545097
522,0.652109382
523,0.83052971
524,0.163756502
525,0.647029129
526,0.176557543
527,0.16856056
528,0.04676817
529,0.056977916
530,0.419229665
531,0.305056163
532,0.100589699
533,0.075115097
534,0.030616513
535,0.056838375
536,2.182819189
537,0.070946739
538,0.146706517
539,0.119482179
540,0.839963698
541,2.169550677
542,0.086892601
543,0.153574363
544,0.055949308
545,0.067062172
546,0.188883048
547,0.114648812
548,0.167458888
549,0.172383917
550,-0.010949735
551,0.30172163
552,0.714100832
553,0.267546768
554,0.113103698
555,0.310659537
556,0.137569598
557,0.179164657
558,0.023031517
559,0.175437246
560,0.155923231
561,0.79533141
562,0.136123572
563,0.090237007
564,0.027114657
565,0.08525047
566,0.146076834
567,0.077403351
568,0.327911825
569,0.280403044
570,0.172334537
571,0.452325457
572,1.27765369
573,0.132432041
574,0.027075506
575,0.080406635
576,0.294203613
577,0.21928558
578,2.841931087
579,0.146942555
580,0.026155656
581,0.028505208
582,0.02895187
583,0.026420043
584,0.582789354
